Company,Price,Market Cap
IEX,985.18,52713641722
IFF,560.44,552535230744
ILMN,430.39,418400068190
INCY,829.63,670724597624
INFO,1519.58,843273532110
INTC,163.68,257059703126
INTU,1368.26,700274934860
IP,1230.59,733529044147
IPG,1725.52,694813320020
IPGP,824.46,799098374018
IQV,264.34,858847744011
IR,367.14,736807835868
IRM,746.66,528773252607
ISRG,1787.79,632526735464
IT,530.52,154124161513
ITW,1429.17,440771090897
IVZ,1924.35,810423469598
J,1883.41,956764891245
JBHT,222.78,243501313999
JCI,1715.01,43560790529
JKHY,1761.87,758715667768
JNJ,1774.01,731253626515
JNPR,1695.74,577032342228
JPM,1676.5,645714501086
K,1663.85,675604996654
KEY,857.19,816505047533
KEYS,334.89,681880303150
KHC,125.54,275837321638
KIM,1990.54,465079288336
KLAC,1827.74,604665065669
KMB,1808.63,822132558586
KMI,414.02,344697145799
KMX,1326.3,542937035139
KO,1742.28,351939997529
KR,1832.38,954704463759
KSS,489.23,275308276872
KSU,1795.76,811223943504
L,616.08,423738858867
LB,238.32,159493522034
LDOS,1140.01,580933858335
LEG,1686.94,670104961792
LEN,952.01,699516564662
LH,1274.77,377947745184
LHX,1031.07,202514624292
LIN,341.87,293328997203
LKQ,740.8,387629304542
LLY,1017.29,240221434266
LMT,416.47,559776954658
LNC,1131.94,319290961077
LNT,1008.5,906211783407
LOW,1879.62,34587511662
LRCX,1762.77,65714325969
LUV,1972.34,268628486870
LVS,1180.07,504711452420
LW,986.69,533782391810
LYB,560.5,607899954796
LYV,763.66,623088749545
MA,1120.61,323004355361
MAA,1046.32,370570957542
MAR,215.68,277138652118
MAS,276.17,674829967388
MCD,270.13,858377320447
MCHP,1692.63,205842552958
MCK,1087.5,836461859120
MCO,1519.63,947067959049
MDLZ,1519.63,212444439647
MDT,1062.68,82361142940
MET,1986.57,651463808127
MGM,665.93,946545065543
MHK,317.52,309472261902
MKC,1043.41,764539556728
MKTX,1641.53,680090359165
MLM,1349.36,710389911574
MMC,1321.98,638780664902
MMM,1897.81,685979639961
MNST,190.68,884497504914
MO,1436.0,390583629661
MOS,1352.73,775836723122
MPC,981.04,486397382614
MRK,1937.71,709208676774
MRO,638.29,10518434708
MS,394.64,839628208789
MSCI,741.57,389378651866
MSFT,1006.79,432230263479
MSI,1612.27,899581281289
MTB,1138.73,180235789470
MTD,249.51,778953439324
MU,1451.47,192062170833
MXIM,109.96,334598197394
MYL,1248.94,443764661371
NBL,130.57,947718008677
NCLH,343.32,285905984269
NDAQ,1702.81,109244564438
NEE,267.86,172511589089
NEM,226.67,187145927435
NFLX,1592.26,598391735247
NI,1388.09,396355210086
NKE,1729.16,147685584556
NLOK,997.63,192585566584
NLSN,569.47,487957584711
NOC,300.99,968383855689
NOV,358.64,742708191021
NOW,315.39,937117136066
NRG,372.56,132386622599
NSC,1795.81,760530877499
NTAP,948.25,717860785884
NTRS,952.54,709869038805
NUE,1057.81,738296681763
NVDA,866.83,367242240096
NVR,177.36,250238886057
NWL,1918.72,828740785826
NWS,1659.79,386309952421
NWSA,1218.33,870410555623
O,1766.58,537899928229
ODFL,429.73,736744527511
OKE,570.55,517349650321
OMC,1482.08,399503414377
ORCL,1148.82,775372270677
ORLY,1081.43,166160936345
OTIS,883.25,925769625133
OXY,1851.1,498297437306
PAYC,1402.08,688224814449
PAYX,888.29,189434895898
PBCT,1943.67,571234771874
PCAR,1694.19,639789353072
PEAK,369.07,824175575704
PEG,1623.45,686412886741
PEP,1743.04,125252066576
PFE,1398.98,218299425056
PFG,1066.76,978429114020
PG,1399.48,755367149884
PGR,1933.14,15134533235
PH,1093.98,678476409588
PHM,551.85,48978997625
PKG,1698.74,332518081442
PKI,1658.98,370567954649
PLD,255.41,960148736050
PM,1528.27,617855311387
PNC,933.53,374348326909
PNR,385.1,492103247641
PNW,1055.72,229771118286
PPG,711.05,146950501781
PPL,1532.82,618214114256
PRGO,256.39,125965493823
PRU,985.05,84563778194
PSA,278.99,472211022499
PSX,671.99,172136562250
PVH,384.71,824216296645
PWR,1696.52,120689213627
PXD,1703.02,280218079311
PYPL,519.32,354916080810
QCOM,135.18,784065657629
QRVO,1223.59,318651398866
RCL,1123.21,216776068908
RE,1158.43,618287738430
REG,423.99,998556163398
REGN,309.01,206318238805
RF,210.01,828031326029
RHI,736.88,102223501830
RJF,1361.14,66960304246
RL,1905.27,967157265803
RMD,715.31,328708239887
ROK,843.13,238353403616
ROL,1159.85,782653028865
ROP,720.74,756232641835
ROST,561.43,659566735587
RSG,1748.18,840006994749
RTX,1388.33,822210233429
SBAC,547.17,547800157888
SBUX,176.6,881499594387
SCHW,473.55,399728968737
SEE,652.19,23649971749
SHW,1936.95,539469918211
SIVB,1734.46,754267661878
SJM,898.88,782985106773
SLB,1379.99,517341505300
SLG,281.7,426844779831
SNA,1325.34,384163123707
SNPS,1325.24,445198909760
SO,384.75,898297690886
SPG,834.9,295676092387
SPGI,892.21,279188825832
SRE,241.58,232351881753
STE,1718.81,150678891493
STT,1328.68,760130588744
STX,1872.56,980747739121
STZ,1856.4,941405300420
SWK,899.58,708311037934
SWKS,1170.83,834805444030
SYF,152.04,82518101449
SYK,1244.97,638010572183
SYY,1667.07,753600993097
T,1367.92,174024956129
TAP,656.01,245531760553
TDG,103.79,395883712738
TDY,1192.58,85162480772
TEL,128.39,73962714863
TFC,1885.92,648514005019
TFX,1876.11,627487776100
TGT,1687.71,329673348632
TIF,1015.17,339445145994
TJX,1913.01,197640792371
TMO,1902.33,969701324320
TMUS,739.47,900008772506
TPR,647.49,132560785296
TROW,1703.14,984945679537
TRV,1521.55,96055683740
TSCO,1351.93,943838899946
TSN,533.53,214729206967
TT,1571.86,302031691083
TTWO,1945.91,426709817684
TWTR,1322.09,755874449314
TXN,1300.29,779962592865
TXT,1989.94,161038952877
TYL,1735.16,569192372990
UA,146.57,720713850066
UAA,202.2,101364338207
UAL,920.35,415745827436
UDR,1880.63,900494314001
UHS,383.41,478754573977
ULTA,597.58,660660012833
UNH,384.42,622489979609
UNM,743.77,121659428327
UNP,977.04,640107953439
UPS,1975.17,675259950371
URI,292.87,727226901429
USB,1557.32,859736371394
V,623.27,419656756728
VAR,1579.04,41135498385
VFC,1730.29,42696459795
VIAC,1282.41,839449612455
VLO,1488.04,308140809669
VMC,233.78,295652551705
VNO,134.72,665509757833
VRSK,349.03,11096796474
VRSN,1698.23,135005280656
VRTX,911.55,624258350835
VTR,688.1,228456172218
VZ,928.97,850963715730
WAB,694.76,153545133124
WAT,1117.76,811452809290
WBA,1428.13,339317303352
WDC,629.0,209044544048
WEC,898.31,575603182940
WELL,563.17,623181975565
WFC,478.23,564950609076
WHR,517.62,647735742697
WLTW,180.27,157561835878
WM,228.52,414840038272
WMB,1304.37,497812904418
WMT,1201.21,922572534927
WRB,1525.27,217455816992
WRK,261.56,178306622432
WST,1750.05,573525544164
WU,955.96,573705270902
WY,474.72,374330409354
WYNN,1241.5,986523446564
XEL,1422.46,480664129667
XLNX,828.54,224316609763
XOM,1004.96,593691040417
XRAY,1589.05,216383956940
XRX,1623.13,423671786501
XYL,920.41,420478509997
YUM,694.43,929199903354
ZBH,1305.76,357544970787
ZBRA,764.74,924281359678
ZION,346.01,350744021598
ZTS,1932.16,780046530676
