Ticker,Stock Price,Market Capitalization,Number of stocks to buy
BBY,955.03,7823070602406,N/A
BDX,943.33,8734712438806,N/A
BEN,1281.77,5466854204907,N/A
BF.B,732.02,709342748332,N/A
BIIB,1355.1,2650902613002,N/A
BIO,151.04,1823066464358,N/A
BK,244.77,5938305282354,N/A
BKNG,160.02,5703444030612,N/A
BKR,802.79,7275017262008,N/A
BLK,276.45,3295873139091,N/A
BLL,233.64,2696046975010,N/A
BMY,803.79,9352236502662,N/A
BR,1347.68,1309814933377,N/A
BRK.B,1413.18,3270192936486,N/A
BSX,1023.65,8885690187108,N/A
BWA,837.12,5849026740292,N/A
BXP,1141.76,7054768517271,N/A
C,1002.33,6113868284769,N/A
CAG,947.0,5294201621199,N/A
CAH,273.85,984705886941,N/A
CARR,584.85,3010563878189,N/A
CAT,383.21,2785423129642,N/A
CB,101.88,7808314951371,N/A
CBOE,493.6,2034680339321,N/A
CBRE,830.83,9329573803286,N/A
CCI,835.84,5014934756272,N/A
CCL,325.78,576693849183,N/A
CDNS,1091.7,3784521682725,N/A
CDW,1245.71,1426000815354,N/A
CE,464.66,3783227651202,N/A
CERN,129.19,7174585188375,N/A
CF,1118.08,9559272204735,N/A
CFG,1349.31,9267011657389,N/A
CHD,813.9,4396776525850,N/A
CHRW,787.86,3258603480572,N/A
CHTR,739.41,7212255730600,N/A
CI,934.43,5475584465533,N/A
CINF,1326.8,6788818680442,N/A
CL,1133.57,9085374192276,N/A
CLX,1272.45,7251554520630,N/A
CMA,1433.93,469958963727,N/A
CMCSA,268.47,2617270726783,N/A
CME,640.41,5043343921847,N/A
CMG,179.43,8088007014120,N/A
CMI,274.16,305128737793,N/A
CMS,854.01,8935986956210,N/A
CNC,819.97,1944491247603,N/A
CNP,1320.78,4320278542840,N/A
COF,1128.71,5107148520294,N/A
COG,1179.48,7428823528471,N/A
COO,628.41,1019580697591,N/A
COP,1409.36,5162223941585,N/A
COST,1447.34,9733371071308,N/A
COTY,1320.84,6826225896154,N/A
CPB,1233.98,4137192992402,N/A
CPRT,1090.81,1336520271871,N/A
CRM,230.84,2408775921557,N/A
CSCO,442.62,3978129740794,N/A
CSX,1271.55,5534254772255,N/A
CTAS,1122.48,8701387749320,N/A
CTL,588.56,9007039311919,N/A
CTSH,1387.84,9507572544214,N/A
CTVA,222.59,9579571779216,N/A
CTXS,979.76,3887925493822,N/A
CVS,124.71,707840619992,N/A
CVX,343.09,1862459552830,N/A
CXO,985.83,4901611565181,N/A
D,1044.51,2963021924078,N/A
DAL,290.2,5665356876371,N/A
DD,348.44,9414399764278,N/A
DE,982.72,3307294238996,N/A
DFS,897.22,1126247002522,N/A
DG,1342.16,3237994740980,N/A
DGX,672.48,9528527188264,N/A
DHI,573.12,5717082650537,N/A
DHR,477.81,2385521103479,N/A
DIS,1495.98,8401613712548,N/A
DISCA,1189.4,1414212977386,N/A
DISCK,133.72,7547976759585,N/A
DISH,1413.48,120296031788,N/A
DLR,185.25,317129598705,N/A
DLTR,1251.53,2843781926258,N/A
DOV,1064.77,6310681077420,N/A
DOW,1057.57,6756455923638,N/A
DPZ,205.64,8356789551911,N/A
DRE,219.38,5309743186967,N/A
DRI,1289.09,1971158684952,N/A
DTE,1282.14,1263647613918,N/A
DUK,1238.99,3158470958730,N/A
DVA,721.32,6534796190698,N/A
DVN,681.6,352084950968,N/A
DXC,561.97,1385056107644,N/A
DXCM,1252.19,375908953159,N/A
EA,336.88,2113105324167,N/A
EBAY,437.6,525675188062,N/A
ECL,785.3,8982793601197,N/A
ED,232.0,275184224274,N/A
EFX,363.47,2421752505463,N/A
EIX,1253.04,1099940369376,N/A
EL,1057.05,3196988106178,N/A
EMN,817.28,1366826072794,N/A
EMR,358.31,6996097863564,N/A
EOG,1123.85,2598049106380,N/A
EQIX,786.27,6799967706785,N/A
EQR,173.61,6450489465173,N/A
ES,841.91,7263781385492,N/A
ESS,1322.31,9345375422522,N/A
ETFC,110.83,4172245897071,N/A
ETN,1154.98,1852156337811,N/A
ETR,1421.49,8199776994727,N/A
EVRG,1149.81,3538441554308,N/A
EW,806.49,4526453982186,N/A
EXC,490.22,2110179521836,N/A
EXPD,528.52,9691526804203,N/A
EXPE,1392.31,9928216874878,N/A
EXR,396.75,8679993616458,N/A
F,295.92,6298519587211,N/A
FANG,1452.37,5249028786675,N/A
FAST,237.3,3567884665511,N/A
FB,361.36,6467743755083,N/A
FBHS,318.42,2956056781981,N/A
FCX,1190.71,2686489699536,N/A
FDX,933.02,3644200308344,N/A
FE,1247.14,6392967534526,N/A
FFIV,329.85,5896577387146,N/A
FIS,686.91,7241713519164,N/A
FISV,551.28,5757761110458,N/A
FITB,463.88,5002662324906,N/A
FLIR,1235.98,3759374300754,N/A
FLS,1332.47,1238174603295,N/A
FLT,643.37,1587905444289,N/A
FMC,1144.67,8633283123723,N/A
FOX,747.89,3817918888506,N/A
FOXA,716.41,7223092803484,N/A
FRC,361.22,9996450933377,N/A
FRT,987.38,2022868946021,N/A
FTI,1083.09,3005401548411,N/A
FTNT,1393.04,3370770728131,N/A
FTV,638.01,7309410902538,N/A
GD,991.08,1212192462899,N/A
GE,639.47,4540967347197,N/A
GILD,381.05,6903466284833,N/A
GIS,1269.73,7489427737066,N/A
GL,218.97,1817014246428,N/A
GLW,552.74,3623413592500,N/A
GM,146.01,4743350091640,N/A
GOOG,1041.55,1410860100371,N/A
GOOGL,322.52,452073918522,N/A
GPC,491.23,5837819850935,N/A
GPN,580.51,3922736760534,N/A
GPS,1189.29,9610738867061,N/A
GRMN,761.62,3491061887405,N/A
GS,641.12,9707420571653,N/A
GWW,1058.23,7594105277765,N/A
HAL,487.49,6164307418160,N/A
HAS,206.85,3248506309905,N/A
HBAN,1432.54,2042575407220,N/A
HBI,721.44,1109838201351,N/A
HCA,650.94,1856179335252,N/A
HD,356.7,6227251530318,N/A
HES,1219.16,4537569243912,N/A
HFC,1116.44,6862669872654,N/A
HIG,635.35,8776814890739,N/A
HII,1134.08,3176634254939,N/A
HLT,941.73,6040192661686,N/A
HOLX,536.18,7000601619191,N/A
HON,319.53,1167504177687,N/A
HPE,1442.49,7399287784797,N/A
HPQ,224.79,3046228343285,N/A
HRB,181.89,8967796083880,N/A
HRL,464.34,2162762348217,N/A
HSIC,1231.22,1930891211865,N/A
HST,901.93,257231675276,N/A
HSY,563.36,7948476562012,N/A
HUM,112.36,3691653485720,N/A
HWM,931.56,4830528868691,N/A
IBM,732.82,570241451190,N/A
ICE,1254.29,2389683246000,N/A
IDXX,365.92,2002086417346,N/A
IEX,1313.01,5841387281850,N/A
IFF,1399.97,5694323633667,N/A
ILMN,703.39,7236995150149,N/A
INCY,616.75,8061514979748,N/A
INFO,890.03,8905546876103,N/A
INTC,231.2,7191430093037,N/A
INTU,426.25,4188708416674,N/A
IP,751.6,5344715171387,N/A
IPG,900.06,1767958612957,N/A
IPGP,120.3,7752063014046,N/A
IQV,1487.53,7760862644863,N/A
IR,156.68,5612184846782,N/A
IRM,1407.24,9700952356113,N/A
ISRG,1252.56,245966608585,N/A
IT,1349.73,9509107355033,N/A
ITW,259.76,4335922952443,N/A
IVZ,1447.76,8202826980686,N/A
J,149.93,4597448283426,N/A
JBHT,909.58,8170352872300,N/A
JCI,1445.79,237324861874,N/A
JKHY,407.42,9432434119110,N/A
JNJ,821.46,5114873713639,N/A
JNPR,510.5,5890788134640,N/A
JPM,952.58,6497762981137,N/A
K,365.29,1443618667719,N/A
KEY,1460.94,7126501956163,N/A
KEYS,816.12,6182677818263,N/A
KHC,155.71,2450502491688,N/A
KIM,211.34,1119685763232,N/A
KLAC,1099.57,1009914835185,N/A
KMB,165.62,482025432512,N/A
KMI,1294.58,6720024857028,N/A
KMX,1495.39,2173031063450,N/A
KO,1469.11,376909164697,N/A
KR,1206.43,2190626664416,N/A
KSS,585.08,513397572857,N/A
KSU,1210.03,1844456469802,N/A
L,1181.14,3967932427675,N/A
LB,1249.56,5069978589956,N/A
LDOS,689.01,5762551604379,N/A
LEG,377.27,1168481266096,N/A
LEN,1263.71,4253217241152,N/A
LH,688.56,3482069335244,N/A
LHX,298.28,3491708958575,N/A
LIN,1042.57,2775305783745,N/A
LKQ,540.16,6111116165797,N/A
LLY,112.27,3142824351803,N/A
LMT,1200.39,8090341678575,N/A
LNC,1364.16,4574433374315,N/A
LNT,120.16,8525553834044,N/A
LOW,225.41,4140726165760,N/A
LRCX,1308.48,9334249529730,N/A
LUV,598.13,8748169441300,N/A
LVS,541.82,7882845691758,N/A
LW,1392.13,4401590559046,N/A
LYB,287.19,4271048464362,N/A
LYV,952.64,7836908398165,N/A
MA,1357.67,604015963815,N/A
MAA,324.38,5270356817120,N/A
MAR,735.82,488670487475,N/A
MAS,805.51,9334463549323,N/A
MCD,440.83,1389902629785,N/A
MCHP,581.87,8883388167372,N/A
MCK,903.47,4074953807421,N/A
MCO,660.55,9883123504294,N/A
MDLZ,1159.33,7205420659857,N/A
MDT,778.91,6530279069694,N/A
MET,1458.47,2519384531637,N/A
MGM,907.56,5180716433825,N/A
MHK,981.32,6895258221402,N/A
MKC,595.6,2143087196265,N/A
MKTX,279.44,7317003321369,N/A
MLM,681.34,8320593611787,N/A
MMC,731.2,4193311014337,N/A
MMM,198.81,1203558120407,N/A
MNST,1187.42,7834887028911,N/A
MO,167.03,412491470646,N/A
MOS,1421.95,8774858968636,N/A
MPC,113.64,5676514771791,N/A
MRK,1392.63,6877299595571,N/A
MRO,646.14,1075764706926,N/A
MS,975.88,8030415854966,N/A
MSCI,840.3,3991040352893,N/A
MSFT,355.49,1008445449347,N/A
MSI,1153.57,9839736568518,N/A
MTB,1435.02,7145623893584,N/A
MTD,560.6,1682679805334,N/A
MU,863.53,1219050563786,N/A
MXIM,1159.9,9690254621113,N/A
MYL,817.12,9770586807797,N/A
NBL,1426.03,7466403530447,N/A
NCLH,1120.68,7396821989505,N/A
NDAQ,1125.62,4240792630549,N/A
NEE,837.32,8732356346111,N/A
NEM,816.89,5481540916021,N/A
NFLX,340.44,3191011238934,N/A
NI,196.84,3701648108779,N/A
NKE,238.44,5327462403526,N/A
NLOK,1487.55,3398448824811,N/A
NLSN,148.2,7555809533815,N/A
NOC,707.13,3756928867981,N/A
NOV,1378.46,3362224550595,N/A
NOW,1125.29,1391500298650,N/A
NRG,433.68,6413355567648,N/A
NSC,1475.64,7509889506580,N/A
NTAP,831.22,5041171369456,N/A
NTRS,490.56,2165284543839,N/A
NUE,686.41,3388345877860,N/A
NVDA,659.86,5218507100545,N/A
NVR,1219.41,8256344061749,N/A
NWL,219.48,9523556001878,N/A
NWS,1462.25,6173517247460,N/A
NWSA,208.26,6563811512880,N/A
O,202.01,9080046471434,N/A
ODFL,1184.59,5399993040738,N/A
OKE,741.24,4534273807586,N/A
OMC,756.15,5958159114590,N/A
ORCL,146.52,8033101013421,N/A
ORLY,776.27,8215228557167,N/A
OTIS,1348.56,2507642364740,N/A
OXY,1137.9,4669462559679,N/A
PAYC,984.04,8194359728228,N/A
PAYX,1470.83,5719707537364,N/A
PBCT,440.63,3450269450821,N/A
PCAR,1156.86,5967343662259,N/A
PEAK,523.37,9430582997397,N/A
PEG,1172.42,8049833171079,N/A
PEP,357.51,1966968873689,N/A
PFE,1361.76,4348689550429,N/A
PFG,269.81,4927307992592,N/A
PG,725.87,8809511829828,N/A
PGR,1133.11,2222809523072,N/A
PH,1440.44,7224068575695,N/A
PHM,945.57,6699593408564,N/A
PKG,1176.09,9691111215103,N/A
PKI,1236.99,9915132488912,N/A
PLD,1134.21,4553258870765,N/A
PM,731.03,4051456231233,N/A
PNC,1188.22,6163127527639,N/A
PNR,1246.97,736263020528,N/A
PNW,386.88,4495444712056,N/A
PPG,1073.28,419831300197,N/A
PPL,400.44,3733133820167,N/A
PRGO,287.61,2546324970206,N/A
PRU,1303.98,1702153245902,N/A
PSA,1241.15,8625900695375,N/A
PSX,819.5,9292803851700,N/A
PVH,658.19,7593805043873,N/A
PWR,1105.16,5775064748185,N/A
PXD,1483.39,1827653210809,N/A
PYPL,1054.24,6846506845164,N/A
QCOM,636.11,3761524155046,N/A
QRVO,1052.7,8309296142745,N/A
RCL,147.24,4563461946971,N/A
RE,1305.29,3196690678795,N/A
REG,794.76,9524271832205,N/A
REGN,283.76,8339649379939,N/A
RF,668.1,8810822550752,N/A
RHI,862.35,9063725800313,N/A
RJF,1367.49,172830944856,N/A
RL,360.62,2232779255364,N/A
RMD,1430.66,3924099200403,N/A
ROK,1350.56,2921140614453,N/A
ROL,1229.33,8820423619074,N/A
ROP,350.64,1033065474120,N/A
ROST,272.02,6217083305434,N/A
RSG,1361.06,1343900203501,N/A
RTX,510.32,3744655391442,N/A
SBAC,897.65,536854105149,N/A
SBUX,1387.36,4322488105160,N/A
SCHW,954.03,9180590633782,N/A
SEE,406.47,427978819080,N/A
SHW,1165.45,2424183714565,N/A
SIVB,1355.75,5753747317583,N/A
SJM,1033.38,9037068674485,N/A
SLB,1303.22,2653829156976,N/A
SLG,953.94,5411348585253,N/A
SNA,883.95,6383171063438,N/A
SNPS,355.94,1775898525928,N/A
SO,477.5,9727375178602,N/A
SPG,1457.27,6344207639776,N/A
SPGI,490.12,5704926091606,N/A
SRE,733.2,4364411872314,N/A
STE,286.15,1821805767851,N/A
STT,1070.49,645934898040,N/A
STX,391.75,4515879621077,N/A
STZ,888.38,3160423771329,N/A
SWK,1443.08,6964011389347,N/A
SWKS,383.87,4480226421250,N/A
SYF,937.84,8720085433231,N/A
SYK,375.84,8749651316123,N/A
SYY,1473.8,3637670264249,N/A
T,754.0,3869931742617,N/A
TAP,267.34,2867678807541,N/A
TDG,679.8,9734710607318,N/A
TDY,214.04,1021228059068,N/A
TEL,1172.19,8277359060279,N/A
TFC,634.48,675777118545,N/A
TFX,1219.73,5864200640709,N/A
TGT,599.53,6357143134234,N/A
TIF,815.75,4110090444932,N/A
TJX,1361.0,5354052158357,N/A
TMO,1329.16,4376882038396,N/A
TMUS,1345.27,9490553080395,N/A
TPR,791.02,4775172066963,N/A
TROW,406.19,705021725649,N/A
TRV,769.79,6573084149035,N/A
TSCO,849.16,8978219353493,N/A
TSN,976.81,6433557346873,N/A
TT,1386.18,7361622499367,N/A
TTWO,1129.17,921404994339,N/A
TWTR,1472.5,3404236210349,N/A
TXN,365.68,6463380306017,N/A
TXT,856.12,3332900769739,N/A
TYL,695.81,8346789166498,N/A
UA,1136.59,9110438337173,N/A
UAA,694.29,5687271915514,N/A
UAL,592.39,5273579283474,N/A
UDR,1216.16,1650496227031,N/A
UHS,1075.23,4219882787084,N/A
ULTA,1453.65,1291172624213,N/A
UNH,1006.06,2995658046853,N/A
UNM,617.81,6241773870216,N/A
UNP,1481.26,515381714810,N/A
UPS,720.97,9444341507233,N/A
URI,1161.54,7246298444675,N/A
USB,1184.67,6700097671653,N/A
V,500.78,9364806433565,N/A
VAR,1248.08,6796121042351,N/A
VFC,1190.03,8849110684157,N/A
VIAC,1047.59,6591904189066,N/A
VLO,931.1,2860526194683,N/A
VMC,1203.68,6138937761062,N/A
VNO,566.95,2989299594797,N/A
VRSK,205.12,6658345805037,N/A
VRSN,1365.77,3432707276749,N/A
VRTX,703.99,9487404666978,N/A
VTR,979.93,3496641724366,N/A
VZ,803.48,9760931435598,N/A
WAB,1259.97,7377355422637,N/A
WAT,1139.97,3569226689756,N/A
WBA,200.84,9651013993267,N/A
WDC,721.98,9498724017111,N/A
WEC,1308.14,1196729930772,N/A
WELL,771.51,1762313772227,N/A
WFC,1119.67,6769715233404,N/A
WHR,1369.65,1520287591041,N/A
WLTW,1481.95,4018165129558,N/A
WM,1240.9,7523596646933,N/A
WMB,1466.67,2880376864200,N/A
WMT,1057.19,6446945295837,N/A
WRB,1037.81,3400340767658,N/A
WRK,196.2,5221424057083,N/A
WST,807.0,7550809273315,N/A
WU,1498.08,9164728911471,N/A
WY,355.81,7857281844131,N/A
WYNN,311.29,907743133070,N/A
XEL,1469.08,8466381355313,N/A
XLNX,476.81,6924349632574,N/A
XOM,565.38,389519481344,N/A
XRAY,263.93,1860346786990,N/A
XRX,148.63,6953300517314,N/A
XYL,567.98,1670783140746,N/A
YUM,1348.29,9024683201526,N/A
ZBH,708.99,3762273494851,N/A
ZBRA,1013.18,2757598515997,N/A
ZION,951.09,5201537030333,N/A
ZTS,269.35,1501582174835,N/A
