Ticker,Price,Market Cap
PM,731.03,4051456231233
PNC,1188.22,6163127527639
PNR,1246.97,736263020528
PNW,386.88,4495444712056
PPG,1073.28,419831300197
PPL,400.44,3733133820167
PRGO,287.61,2546324970206
PRU,1303.98,1702153245902
PSA,1241.15,8625900695375
PSX,819.5,9292803851700
PVH,658.19,7593805043873
PWR,1105.16,5775064748185
PXD,1483.39,1827653210809
PYPL,1054.24,6846506845164
QCOM,636.11,3761524155046
QRVO,1052.7,8309296142745
RCL,147.24,4563461946971
RE,1305.29,3196690678795
REG,794.76,9524271832205
REGN,283.76,8339649379939
RF,668.1,8810822550752
RHI,862.35,9063725800313
RJF,1367.49,172830944856
RL,360.62,2232779255364
RMD,1430.66,3924099200403
ROK,1350.56,2921140614453
ROL,1229.33,8820423619074
ROP,350.64,1033065474120
ROST,272.02,6217083305434
RSG,1361.06,1343900203501
RTX,510.32,3744655391442
SBAC,897.65,536854105149
SBUX,1387.36,4322488105160
SCHW,954.03,9180590633782
SEE,406.47,427978819080
SHW,1165.45,2424183714565
SIVB,1355.75,5753747317583
SJM,1033.38,9037068674485
SLB,1303.22,2653829156976
SLG,953.94,5411348585253
SNA,883.95,6383171063438
SNPS,355.94,1775898525928
SO,477.5,9727375178602
SPG,1457.27,6344207639776
SPGI,490.12,5704926091606
SRE,733.2,4364411872314
STE,286.15,1821805767851
STT,1070.49,645934898040
STX,391.75,4515879621077
STZ,888.38,3160423771329
SWK,1443.08,6964011389347
SWKS,383.87,4480226421250
SYF,937.84,8720085433231
SYK,375.84,8749651316123
SYY,1473.8,3637670264249
T,754.0,3869931742617
TAP,267.34,2867678807541
TDG,679.8,9734710607318
TDY,214.04,1021228059068
TEL,1172.19,8277359060279
TFC,634.48,675777118545
TFX,1219.73,5864200640709
TGT,599.53,6357143134234
TIF,815.75,4110090444932
TJX,1361.0,5354052158357
TMO,1329.16,4376882038396
TMUS,1345.27,9490553080395
TPR,791.02,4775172066963
TROW,406.19,705021725649
TRV,769.79,6573084149035
TSCO,849.16,8978219353493
TSN,976.81,6433557346873
TT,1386.18,7361622499367
TTWO,1129.17,921404994339
TWTR,1472.5,3404236210349
TXN,365.68,6463380306017
TXT,856.12,3332900769739
TYL,695.81,8346789166498
UA,1136.59,9110438337173
UAA,694.29,5687271915514
UAL,592.39,5273579283474
UDR,1216.16,1650496227031
UHS,1075.23,4219882787084
ULTA,1453.65,1291172624213
UNH,1006.06,2995658046853
UNM,617.81,6241773870216
UNP,1481.26,515381714810
UPS,720.97,9444341507233
URI,1161.54,7246298444675
USB,1184.67,6700097671653
V,500.78,9364806433565
VAR,1248.08,6796121042351
VFC,1190.03,8849110684157
VIAC,1047.59,6591904189066
VLO,931.1,2860526194683
VMC,1203.68,6138937761062
VNO,566.95,2989299594797
VRSK,205.12,6658345805037
VRSN,1365.77,3432707276749
VRTX,703.99,9487404666978
VTR,979.93,3496641724366
VZ,803.48,9760931435598
WAB,1259.97,7377355422637
WAT,1139.97,3569226689756
WBA,200.84,9651013993267
WDC,721.98,9498724017111
WEC,1308.14,1196729930772
WELL,771.51,1762313772227
WFC,1119.67,6769715233404
WHR,1369.65,1520287591041
WLTW,1481.95,4018165129558
WM,1240.9,7523596646933
WMB,1466.67,2880376864200
WMT,1057.19,6446945295837
WRB,1037.81,3400340767658
WRK,196.2,5221424057083
WST,807.0,7550809273315
WU,1498.08,9164728911471
WY,355.81,7857281844131
WYNN,311.29,907743133070
XEL,1469.08,8466381355313
XLNX,476.81,6924349632574
XOM,565.38,389519481344
XRAY,263.93,1860346786990
XRX,148.63,6953300517314
XYL,567.98,1670783140746
YUM,1348.29,9024683201526
ZBH,708.99,3762273494851
ZBRA,1013.18,2757598515997
ZION,951.09,5201537030333
ZTS,269.35,1501582174835
